n	accum	mflops
1	0.042887	874.400913
2	0.031624	1185.806222
3	0.027322	1372.505745
4	0.026735	1402.644782
5	0.024047	1559.415736
6	0.029595	1267.119246
7	0.022667	1654.413592
8	0.022261	1684.572550
9	0.021730	1725.742159
10	0.021509	1743.420320
11	0.021272	1762.863655
12	0.021024	1783.665873
13	0.020880	1795.997395
14	0.020850	1798.560968
15	0.020831	1800.181401
16	0.020631	1817.671724
17	0.020493	1829.936775
18	0.020456	1833.200992
19	0.020274	1849.633647
20	0.020288	1848.386287
21	0.020079	1867.627800
22	0.020082	1867.329465
23	0.019984	1876.546688
24	0.020075	1868.009163
25	0.019943	1880.314615
26	0.020029	1872.262051
27	0.019860	1888.188933
28	0.019978	1877.017458
29	0.019810	1892.966506
30	0.020124	1863.403203
31	0.021004	1785.411221
32	0.019666	1906.880003
33	0.019648	1908.628576
34	0.019759	1897.906202
35	0.019885	1885.833396
36	0.019553	1917.860489
37	0.019644	1908.979711
38	0.019553	1917.907613
39	0.019632	1910.156680
40	0.019678	1905.666074
41	0.019830	1891.031105
42	0.019507	1922.408914
43	0.019477	1925.388885
44	0.019688	1904.752056
45	0.019691	1904.396695
46	0.019835	1890.590390
47	0.020283	1848.855277
48	0.019436	1929.377478
49	0.019465	1926.560330
50	0.019508	1922.300806
51	0.019473	1925.745600
52	0.019451	1927.872006
53	0.019389	1934.071968
54	0.019482	1924.813355
55	0.019414	1931.589868
56	0.019487	1924.331988
57	0.019813	1892.688385
58	0.019462	1926.781393
59	0.019418	1931.199520
60	0.019445	1928.504328
61	0.019452	1927.864739
62	0.019476	1925.467084
63	0.019433	1929.731616
64	0.019361	1936.904278
65	0.021207	1768.311525
66	0.021109	1776.464106
67	0.021048	1781.652701
68	0.020957	1789.359266
69	0.021038	1782.496871
70	0.020991	1786.469095
71	0.020885	1795.541447
72	0.020877	1796.203993
73	0.020819	1801.261355
74	0.020896	1794.582926
75	0.020854	1798.196251
76	0.020785	1804.182296
77	0.020718	1810.000791
78	0.020810	1802.011049
79	0.020707	1810.976077
80	0.020703	1811.289696
81	0.020711	1810.598454
82	0.020790	1803.768914
83	0.020764	1806.018624
84	0.020821	1801.064272
85	0.026057	1439.134136
86	0.021094	1777.794908
87	0.020861	1797.584475
88	0.020765	1805.927541
89	0.020638	1817.054812
90	0.020616	1818.998936
91	0.020634	1817.361319
92	0.020717	1810.123861
93	0.020657	1815.345606
94	0.020578	1822.310376
95	0.020593	1821.007675
96	0.020624	1818.303762
97	0.020512	1828.189319
98	0.020500	1829.280977
99	0.020484	1830.723530
100	0.020452	1833.525650
110	0.020209	1855.597532
120	0.020311	1846.318822
130	0.020150	1861.068648
140	0.020196	1856.815356
150	0.019968	1877.989289
160	0.019896	1884.752473
170	0.020048	1870.526226
180	0.019920	1882.526578
190	0.019804	1893.579590
200	0.019920	1882.576523
210	0.019746	1899.110637
220	0.019739	1899.802283
230	0.019703	1903.238575
240	0.019860	1888.260783
250	0.019669	1906.533201
260	0.019596	1913.624842
270	0.019808	1893.128143
280	0.019808	1893.153208
290	0.019673	1906.134761
300	0.019659	1907.497462
310	0.019606	1912.609424
320	0.019592	1913.977112
330	0.019552	1917.994968
340	0.134384	279.051262
350	0.019362	1936.766095
360	0.019541	1919.000664
370	0.019461	1926.921331
380	0.020790	1803.766523
390	0.019799	1894.021263
400	0.019459	1927.128736
410	0.019517	1921.415553
420	0.019476	1925.422488
430	0.019426	1930.350772
440	0.019568	1916.404375
450	0.019455	1927.470242
460	0.019397	1933.293457
470	0.019436	1929.379006
480	0.019393	1933.702746
490	0.019367	1936.265379
500	0.019352	1937.778200
510	0.102594	365.513030
520	0.019402	1932.789087
530	0.019414	1931.541857
540	0.019344	1938.581619
550	0.019386	1934.298934
560	0.019420	1930.991129
570	0.019318	1941.167034
580	0.019272	1945.810226
590	0.019438	1929.189256
600	0.019278	1945.188630
610	0.019264	1946.637144
620	0.019297	1943.207662
630	0.019371	1935.802301
640	0.019260	1947.002161
650	0.019298	1943.159031
660	0.019347	1938.317275
670	0.019290	1944.018142
680	0.027187	1379.327189
690	0.019322	1940.760312
700	0.019207	1952.312938
710	0.019277	1945.322535
720	0.019277	1945.321778
730	0.019460	1926.910804
740	0.019200	1953.109753
750	0.019266	1946.436355
760	0.019363	1936.718242
770	0.019291	1943.834842
780	0.019499	1923.119292
790	0.019304	1942.565423
800	0.019261	1946.923955
810	0.019361	1936.916649
820	0.019161	1957.064065
830	0.019236	1949.408454
840	0.019329	1940.100347
850	0.021106	1776.711016
860	0.019369	1936.100401
870	0.019235	1949.530522
880	0.019314	1941.567951
890	0.019184	1954.758082
900	0.019198	1953.267611
910	0.019414	1931.565037
920	0.019451	1927.872683
930	0.019454	1927.627990
940	0.019297	1943.203608
950	0.019519	1921.116414
960	0.019311	1941.870929
970	0.019272	1945.765219
980	0.019426	1930.340239
990	0.019293	1943.630234
