n	mflops
1	884.113867
2	1186.729741
3	1372.023518
4	1393.257215
5	1567.381217
6	1621.224255
7	1201.632952
8	1690.340981
9	1715.526658
10	1743.285457
11	1756.543478
12	1776.395568
13	1796.675717
14	1807.333779
15	1812.081014
16	1823.538911
17	1819.943586
18	1843.028793
19	1839.518342
20	1845.291363
21	1856.655112
22	1859.924087
23	1863.992041
24	1880.949160
25	1884.050224
26	1875.498746
27	1883.735376
28	1883.556291
29	1880.144985
30	1857.058861
31	1890.799209
32	1897.697999
33	1896.742792
34	1910.095236
35	1909.647744
36	1907.863174
37	1908.960665
38	1908.026401
39	1908.813832
40	1844.647887
41	1911.549092
42	1912.802613
43	1920.464608
44	1915.677036
45	1929.638576
46	1923.394897
47	1923.567155
48	1926.292350
49	1921.104478
50	1922.106407
51	1917.158495
52	1928.509507
53	1924.444738
54	1930.844122
55	1929.896864
56	1938.784482
57	1930.754717
58	1926.743278
59	1924.179091
60	1902.427873
61	1871.530164
62	1931.388850
63	1904.674336
64	1934.816535
65	1770.356733
66	1777.707196
67	1779.181368
68	1781.970328
69	1791.430395
70	1790.596973
71	1800.255723
72	1793.446729
73	1794.713524
74	1802.316446
75	1793.183150
76	1801.328682
77	1800.861659
78	1800.271943
79	1811.773863
80	1811.354177
81	1806.348621
82	1811.862169
83	1816.669191
84	1820.819834
85	1827.806236
86	1818.858284
87	1817.451039
88	1820.471103
89	1833.005991
90	1831.293546
91	1833.560802
92	1812.349233
93	1828.971923
94	1827.144014
95	1833.556522
96	1833.857019
97	1834.305430
98	1840.966287
99	1843.285634
100	1849.827090
110	1850.474199
120	1861.749648
130	1867.842793
140	1787.085616
150	1698.492414
160	1866.345873
170	1884.542359
180	1888.306699
190	1878.721316
200	1883.221108
210	1901.051457
220	1892.496947
230	1909.427059
240	1896.665036
250	1890.332677
260	1914.114500
270	1917.925264
280	1907.852955
290	1920.085029
300	1909.845902
310	1916.251941
320	1915.346623
330	1923.632174
340	279.850312
350	1920.328468
360	1923.094892
370	1929.332695
380	1924.075017
390	1904.031516
400	1899.947065
410	1922.978741
420	1918.009700
430	1916.219781
440	1920.332363
450	1916.994938
460	1938.652790
470	1936.763437
480	1943.139991
490	1902.341913
500	1928.423799
510	365.756819
520	1931.451819
530	1932.542951
540	1919.794565
550	1928.358888
560	1935.158896
570	1928.764453
580	1936.481131
590	1928.720715
600	1932.645501
610	1916.836328
620	1946.886464
630	1943.901849
640	1937.788416
650	1664.371892
660	1941.733919
670	1944.868485
680	1380.062484
690	1951.063092
700	1954.896265
710	1955.858799
720	1957.809534
730	1950.992618
740	1959.310720
750	1953.159587
760	1950.530894
770	1958.398434
780	1954.271972
790	1960.490848
800	1949.499199
810	1935.781209
820	1951.390251
830	1958.067241
840	1954.364148
850	1954.091925
860	1960.307006
870	1961.752390
880	1962.266315
890	1952.508434
900	1961.032561
910	1952.209311
920	1961.941602
930	1949.790761
940	1944.023035
950	1940.196053
960	1940.483221
970	1948.991132
980	1951.322571
990	1942.630594
1000	1946.155937
1010	1948.087004
1020	1098.545720
1030	1874.820508
1040	1782.599548
1050	1713.252116
1060	1658.433958
1070	1636.838413
1080	1574.636153
1090	1515.758816
1100	1485.040687
1110	1458.486539
1120	1389.380876
1130	1344.105991
1140	1317.149292
1150	1274.119166
1160	1265.511161
1170	1264.965648
1180	1257.077043
1190	1345.758572
1200	1246.001912
1210	1253.365056
1220	1248.640239
1230	1258.771894
1240	1214.215861
1250	1251.183954
1260	1263.908177
1270	1280.047283
1280	1270.347208
1290	1262.595280
1300	1259.350052
1310	1268.656487
1320	1255.062363
1330	1259.766647
1340	1250.552015
1350	1262.941431
1360	1262.362964
1370	1256.278732
1380	1254.543314
1390	1265.336751
1400	1255.206133
1410	1259.794156
1420	1252.818388
1430	1267.328640
1440	1224.748759
1450	1255.643505
1460	1255.194308
1470	1260.678283
1480	1198.803424
1490	1262.741843
1500	1257.355235
1510	1261.301799
1520	1259.269289
1530	1107.253909
1540	1252.398407
1550	1262.474297
1560	1257.604461
1570	1233.695423
1580	1241.578188
1590	1264.357329
1600	1247.039132
1610	1257.106381
1620	1256.470614
1630	1267.160923
1640	1263.524345
1650	1261.098244
1660	1259.272127
1670	1267.062415
1680	1259.844805
1690	1262.140171
1700	1230.696260
1710	1260.425087
1720	1250.932417
1730	1253.870082
1740	1254.596288
1750	1269.015306
1760	1255.616463
1770	1262.976809
1780	1254.030600
1790	557.258951
1800	1261.191945
1810	1260.417467
1820	1257.166869
1830	1264.760037
1840	1254.986376
1850	1258.376326
1860	1253.560926
1870	1260.349280
1880	1259.896045
1890	1246.028777
1900	1244.701701
1910	1263.502999
1920	1265.912526
1930	1257.162830
1940	1258.544214
1950	1269.502497
1960	1261.710036
1970	1260.845532
1980	1258.196242
1990	1256.103563
2000	1260.687987
2010	1261.350827
2020	1233.471940
2030	1267.584371
2040	1185.897904
2050	1232.593244
2060	1256.940285
2070	1267.117895
2080	1265.179279
2090	1264.459608
2100	1257.588228
2110	1260.120402
2120	1261.282352
2130	1260.626852
2140	1255.710159
2150	1269.237602
2160	1263.935954
2170	1265.953897
2180	1242.464930
2190	1257.573256
2200	1249.446073
2210	1254.638236
2220	1250.751661
2230	1236.177237
2240	1253.188483
2250	1260.314321
2260	1239.814565
2270	1264.639737
2280	1244.997681
2290	1254.645765
2300	1172.083391
2310	1274.272867
2320	1264.125387
2330	1263.031457
2340	1259.026592
2350	1242.868190
2360	1259.452609
2370	1248.961354
2380	1245.834472
2390	1256.377862
2400	1258.840691
2410	1259.121044
2420	1257.249167
2430	1265.435373
2440	1260.346888
2450	1259.827912
2460	1254.249677
2470	1270.979080
