n	mflops
1	1194.264549
2	888.335389
3	1617.392691
4	1485.076878
5	1719.422760
6	1327.625417
7	1793.463041
8	1531.204165
9	1823.468037
10	1527.944641
11	1832.467114
12	1829.171302
13	1704.011049
14	1625.038432
15	1643.715720
16	1578.439609
17	1719.218792
18	1853.878398
19	1853.514509
20	1811.630260
21	1801.128140
22	1805.026459
23	1856.487690
24	1744.609540
25	1879.619824
26	1874.950645
27	1833.887355
28	1879.808217
29	1796.882649
30	1822.669784
31	1808.156580
32	1815.371348
33	1803.109749
34	1770.601729
35	1874.997594
36	1866.400201
37	1882.470608
38	1876.328616
39	1879.243936
40	1915.346193
41	1842.339534
42	1885.227409
43	1861.513462
44	1871.245990
45	1880.215727
46	1889.426063
47	1918.082400
48	1869.892016
49	1859.265572
50	1878.146929
51	1889.535424
52	1820.255123
53	1868.054276
54	1883.621359
55	1861.057111
56	1861.319692
57	1886.426532
58	1888.487297
59	1872.164003
60	1863.764482
61	1870.197873
62	1901.835649
63	1897.636415
64	1871.112361
65	1791.401467
66	1793.763166
67	1796.212577
68	1798.953881
69	1801.496165
70	1803.959612
71	1806.415214
72	1808.476801
73	1811.114616
74	1813.395870
75	1815.612320
76	1817.624588
77	1820.126485
78	1821.508692
79	1823.815450
80	1825.619814
81	1827.536263
82	1829.272923
83	1831.168894
84	1832.609167
85	1834.456691
86	1836.841460
87	1838.137003
88	1839.712078
89	1841.270664
90	1842.849142
91	1844.267827
92	1845.820288
93	1847.250424
94	1848.841878
95	1849.806902
96	1851.330567
97	1829.137328
98	1854.258626
99	1855.523384
100	1856.822543
110	1868.473960
120	1878.633277
130	1886.511397
140	1893.766517
150	1900.013969
160	1906.056431
170	1910.838256
180	1914.903591
190	1919.333958
200	1922.410093
210	1925.683529
220	1929.131606
230	1931.389620
240	1933.869801
250	1934.183401
260	1938.250824
270	1940.238111
280	1942.537828
290	1943.792725
300	1945.636428
310	1947.344298
320	1948.237828
330	1949.607831
340	1944.943517
350	1952.015535
360	1953.417722
370	1954.677258
380	1955.218824
390	1956.517724
400	1957.004660
410	1958.202130
420	1959.166528
430	1954.396627
440	1960.283745
450	1961.362938
460	1961.603333
470	1962.260079
480	1963.334495
490	1963.458746
500	1964.401174
510	1965.111320
520	1965.075278
530	1959.756438
540	1966.900266
550	1966.665856
560	1967.106173
570	1967.553528
580	1968.745209
590	1968.328464
600	1968.643757
610	1969.616886
620	1969.550542
630	1970.252693
640	1970.181490
650	1970.605762
660	1971.449327
670	1971.059617
680	568.736733
690	1971.787661
700	1972.402565
710	1972.450550
720	1973.231145
730	1972.463308
740	1974.087014
750	1964.688728
760	1973.727162
770	1974.070654
780	1974.622611
790	1974.565927
800	1974.698361
810	1975.381740
820	1975.429689
830	1975.261014
840	1975.625373
850	1134.293885
860	1976.426623
870	1976.098627
880	1976.598494
890	1976.548084
900	1976.533585
910	1976.898418
920	1977.229111
930	1977.614245
940	1976.965468
950	1977.274296
960	1977.945259
970	1977.813181
980	1977.757329
990	1978.075192
1000	1978.539129
1010	1978.187610
1020	746.179443
1030	1891.454307
1040	1807.927735
1050	1745.979954
1060	1724.980452
1070	1662.101996
1080	1607.344695
1090	1560.693488
1100	1540.008854
1110	1475.602691
1120	1433.259271
1130	1379.699245
1140	1340.935236
1150	1268.408595
1160	1270.889492
1170	1271.798179
1180	1276.190282
1190	1592.086051
1200	1279.109069
1210	1268.616338
1220	1274.057147
1230	1267.938160
1240	1275.817522
1250	1272.427813
1260	1279.627753
1270	1321.048135
1280	1301.230046
1290	1270.961807
1300	1281.486636
1310	1269.044626
1320	1267.832795
1330	1266.746599
1340	1271.878550
1350	1277.593615
1360	1433.553262
1370	1272.382397
1380	1275.751713
1390	1276.464844
1400	1275.823556
1410	1274.307351
1420	1278.405025
1430	1271.750872
1440	1273.876998
1450	1269.409922
1460	1275.016562
1470	1279.717758
1480	1271.672482
1490	1274.624302
1500	1279.770665
1510	1271.531476
1520	1278.457505
1530	1034.609461
1540	1279.346213
1550	1267.492045
1560	1269.169867
1570	1271.942848
1580	1275.780441
1590	1272.053333
1600	1270.383335
1610	1270.206334
1620	1274.328358
1630	1269.270817
1640	1272.816318
1650	1272.836129
1660	1275.875683
1670	1275.246255
1680	1273.197272
1690	1271.037070
1700	1274.803330
1710	1269.604881
1720	1266.821444
1730	1270.759758
1740	1269.236737
1750	1276.174440
1760	1273.710133
1770	1269.711109
1780	1277.650296
1790	1268.064813
1800	1274.167233
1810	1273.490993
1820	1277.641713
1830	1275.444378
1840	1271.710468
1850	1270.492814
1860	1274.584658
1870	1264.580890
1880	1276.311461
1890	1270.810343
1900	1276.339104
1910	1270.180742
1920	1276.585010
1930	1270.410168
1940	1277.440540
1950	1268.786532
1960	1273.733739
1970	1270.446476
1980	1274.645080
1990	1273.608132
2000	1274.167128
2010	1270.238514
2020	1284.740830
2030	1240.702916
2040	1141.498937
2050	1266.784123
2060	1279.696205
2070	1279.737199
2080	1270.651556
2090	1269.951546
2100	1279.014990
2110	1279.669742
2120	1270.951164
2130	1269.226504
2140	1278.327253
2150	1273.807540
2160	1270.900577
2170	1269.572173
2180	1276.051108
2190	1276.276337
2200	1268.417300
2210	1270.229857
2220	1273.580133
2230	1275.485133
2240	1275.168983
2250	1271.183855
2260	1276.225680
2270	1272.700526
2280	1271.619715
2290	1268.327884
2300	1083.416188
2310	1267.824338
2320	1270.281618
2330	1265.821623
2340	1285.424441
2350	1278.618416
2360	1269.786484
2370	1268.738377
2380	1273.674151
2390	1275.383591
2400	1274.394058
2410	1271.600484
2420	1275.166532
2430	1276.309502
2440	1272.734246
2450	1268.536382
2460	1276.355651
2470	1273.326525
2480	1271.135333
2490	1268.694084
2500	1276.927855
2510	1277.083588
2520	1267.578809
2530	1271.042641
2540	1289.588165
2550	1266.863564
2560	1211.598491
2570	1271.524757
2580	1282.765841
2590	1267.536148
2600	1272.972331
2610	1271.869033
2620	1273.578433
2630	1282.784678
2640	1271.848396
2650	1271.896824
2660	1273.293284
2670	1271.441289
2680	1275.095654
2690	1268.376245
2700	1278.454595
2710	1277.879910
2720	1268.419187
2730	1268.207540
2740	1267.881270
2750	1274.096872
2760	1273.660288
2770	1264.951769
2780	1275.702955
2790	1278.031539
2800	1269.890510
2810	1279.259587
2820	1275.616454
2830	1272.608377
2840	1271.860475
2850	1270.955395
2860	1275.724522
2870	1275.361118
2880	1273.544592
2890	1271.328398
2900	1276.012359
2910	1273.606284
2920	1266.546382
2930	1270.341505
2940	1274.501736
2950	1270.341403
2960	1273.174345
2970	1270.525426
2980	1275.325395
2990	1273.672316
3000	1273.704663
3010	1269.200215
3020	1285.263728
3030	1272.113920
3040	1268.860219
3050	1273.224081
3060	1266.206398
3070	1170.343151
3080	1275.842188
3090	1273.469689
3100	1281.218853
3110	1280.642828
3120	1270.100123
3130	1272.348571
3140	1278.293690
3150	1273.728880
3160	1273.089468
3170	1273.375652
3180	1282.736303
3190	1272.472024
3200	1272.162446
3210	1271.030743
3220	1279.509263
3230	1277.432037
3240	568.886842
3250	1270.086244
3260	1272.731957
3270	1273.636734
3280	1271.339382
3290	1272.954137
3300	1274.497847
3310	1275.782451
3320	1275.050692
3330	1271.125420
3340	1286.084347
3350	1277.708460
3360	1272.608747
3370	1272.652433
3380	1275.609373
3390	1270.532626
3400	1271.692294
3410	1074.603740
3420	1273.801172
3430	1278.855345
3440	1270.924574
3450	1272.899190
3460	1278.841516
3470	1276.470455
3480	1270.551761
3490	1271.181350
3500	1275.171190
3510	1272.887791
3520	1271.831458
3530	1273.080048
3540	1280.102300
3550	1275.926471
3560	1271.615759
3570	1276.120302
3580	702.651118
3590	1272.029891
3600	1269.038015
3610	1270.745230
3620	1278.657504
3630	1275.470012
3640	1270.398159
3650	1271.207387
3660	1281.478922
3670	1269.154842
3680	1272.973849
3690	1272.057036
3700	1278.551549
3710	1274.767056
3720	1273.792355
3730	1270.873477
3740	1275.975065
3750	1278.016028
3760	1274.275044
3770	1269.805481
3780	1274.847995
3790	1274.803862
3800	1273.650318
3810	1271.730658
3820	1278.462552
3830	1272.104028
3840	1271.348304
3850	1270.978095
3860	1287.325260
3870	1274.852226
3880	1272.474832
3890	1271.943981
3900	1276.094444
