r	n	accum	mflops
1500000	1	0.002514	1193.538659
750000	2	0.002011	1492.088944
500000	3	0.001856	1616.280035
375000	4	0.001781	1684.612469
300000	5	0.001758	1706.226475
250000	6	0.001726	1738.335335
214285	7	0.001668	1798.673773
187500	8	0.001739	1724.931995
166666	9	0.001651	1816.548459
150000	10	0.001972	1521.258832
136363	11	0.001635	1834.467855
125000	12	0.001647	1821.176273
115384	13	0.001755	1709.477336
107142	14	0.001860	1613.110608
100000	15	0.001833	1636.851418
93750	16	0.001797	1669.293021
88235	17	0.001766	1698.864985
83333	18	0.001616	1856.831527
78947	19	0.001620	1851.867216
75000	20	0.001655	1812.951727
71428	21	0.001671	1794.832278
68181	22	0.001641	1828.208499
65217	23	0.001595	1880.813394
62500	24	0.001727	1737.070119
60000	25	0.001593	1883.629377
57692	26	0.001602	1872.777781
55555	27	0.001634	1835.713053
53571	28	0.001597	1878.095596
51724	29	0.001692	1773.499822
50000	30	0.001645	1824.037531
48387	31	0.001664	1802.827922
46875	32	0.001658	1809.057590
45454	33	0.001652	1815.765391
44117	34	0.001717	1747.504091
42857	35	0.001602	1872.373597
41666	36	0.001609	1864.951713
40540	37	0.001592	1884.098748
39473	38	0.001600	1874.798768
38461	39	0.001594	1881.785815
37500	40	0.001574	1906.366884
36585	41	0.001632	1838.697993
35714	42	0.001588	1889.329736
34883	43	0.001613	1860.258234
34090	44	0.001601	1873.718030
33333	45	0.001593	1882.701503
32608	46	0.001590	1887.313647
31914	47	0.001560	1922.696465
31250	48	0.001606	1868.063646
30612	49	0.001611	1862.540899
30000	50	0.001602	1872.705935
29411	51	0.001591	1885.315773
28846	52	0.001645	1823.640833
28301	53	0.001608	1865.410170
27777	54	0.001591	1885.725600
27272	55	0.001611	1862.183568
26785	56	0.001614	1858.638127
26315	57	0.001589	1887.379220
25862	58	0.001591	1885.524476
25423	59	0.001601	1873.551625
25000	60	0.001613	1859.895325
24590	61	0.001603	1871.714340
24193	62	0.001576	1903.198588
23809	63	0.001588	1889.137911
23437	64	0.001602	1872.421698
23076	65	0.001677	1788.571643
22727	66	0.001671	1794.974370
22388	67	0.001669	1797.545505
22058	68	0.001670	1796.431555
21739	69	0.001664	1802.820710
21428	70	0.001665	1801.498406
21126	71	0.001660	1807.698542
20833	72	0.001658	1809.867920
20547	73	0.001659	1808.593748
20270	74	0.001653	1814.613032
20000	75	0.001655	1812.875039
19736	76	0.001649	1818.939852
19480	77	0.001651	1817.275359
19230	78	0.001646	1823.035707
18987	79	0.001649	1819.215261
18750	80	0.001646	1823.108631
18518	81	0.001640	1828.879177
18292	82	0.001642	1826.762831
18072	83	0.001637	1832.412226
17857	84	0.001636	1834.227323
17647	85	0.001638	1832.044893
17441	86	0.001632	1837.682935
17241	87	0.001635	1835.297961
17045	88	0.001629	1841.031300
16853	89	0.001628	1842.558202
16666	90	0.001630	1840.218479
16483	91	0.001625	1845.691652
16304	92	0.001627	1843.333014
16129	93	0.001623	1848.603962
15957	94	0.001626	1844.666152
15789	95	0.001624	1847.519630
15625	96	0.001619	1852.754212
15463	97	0.001621	1850.250354
15306	98	0.001617	1855.541247
15151	99	0.001616	1856.696527
15000	100	0.001619	1852.754212
